"min_height","max_height","min_weight","max_weight","min_expectancy","max_expectancy"
43.18,55.88,13.6077711,27.2155422,11,13
64.77,69.85,36.2873896,45.359237,10,12
38.1,45.72,9.0718474,15.87573295,13,15
66.04,76.2,31.7514659,52.16312255,10,12
54.61,62.23,24.94758035,36.2873896,10,12
40.64,48.26,10.88621688,15.87573295,15,17
25.4,30.48,4.08233133,7.71107029,12,15
25.4,27.94,5.44310844,8.16466266,12,15
38.1,40.64,5.44310844,9.97903214,15,17
69.85,76.2,54.4310844,104.3262451,6,10
33.02,45.72,9.0718474,18.1436948,12,13
25.4,35.56,8.16466266,12.70058636,11,13
25.4,31.75,3.62873896,4.5359237,12,16
30.48,35.56,4.98951607,9.0718474,12,15
40.64,66.04,13.6077711,27.2155422,10,13
38.1,46.99,8.16466266,13.15417873,12,14
60.96,78.74,49.8951607,68.0388555,7,9
35.56,43.18,9.0718474,13.6077711,12,15
66.04,71.12,45.359237,68.0388555,9,10
22.86,25.4,4.98951607,5.44310844,12,16
41.91,45.72,9.0718474,13.6077711,14,17
40.64,46.99,11.79340162,18.1436948,12,15
49.53,52.07,21.77243376,24.94758035,12,15
30.48,38.1,9.0718474,13.6077711,12,15
43.18,53.34,15.87573295,22.6796185,12,14
53.34,55.88,27.2155422,45.359237,10,12
60.96,68.58,36.2873896,52.16312255,10,13
20.32,27.94,2.26796185,4.5359237,14,16
33.02,35.56,5.89670081,7.71107029,13,15
25.4,30.48,12.70058636,13.6077711,12,13
55.88,66.04,38.10175908,49.8951607,9,11
24.765,65.405,3.855535145,24.94758035,12,14
33.02,38.1,11.33980925,18.1436948,12,14
53.34,63.5,20.41165665,24.94758035,12,14
50.8,63.5,18.1436948,27.2155422,12,14
58.42,71.12,20.41165665,34.01942775,12,17
43.18,50.8,13.6077711,22.6796185,12,14
15.24,17.78,1.36077711,3.17514659,12,16
25.4,38.1,4.5359237,6.80388555,10,18
55.88,58.42,24.94758035,28.12272694,12,13
40.64,71.12,15.87573295,29.93709642,10,12
20.32,30.48,4.08233133,5.89670081,12,15
41.91,54.61,17.009713875,26.76194983,12,13
43.18,58.42,15.87573295,27.2155422,11,13
25.4,33.02,6.35029318,8.16466266,13,15
40.64,43.18,11.33980925,15.87573295,10,15
38.1,46.99,9.97903214,13.15417873,12,13
63.5,78.74,54.4310844,108.8621688,10,13
